Product,old_price,new_price,discount,sale_date
"Печенье ОРЕО, Какао-ваниль, двойная начинка, 170г",133.30,99.99,−25%,с 13 апреля до 19 апреля
"Крабовые палочки ВИЧИ, замороженные, 200г",169.50,99.99,−41%,с 13 апреля до 19 апреля
"Печенье ОРЕО с какао и начинкой со вкусом клубники, 228г",142.80,99.99,−30%,с 13 апреля до 19 апреля
"Печенье ОРЕО, Какао-ваниль, двойная начинка, 170г",144.90,99.99,−31%,с 13 апреля до 19 апреля
"Печенье ОРЕО, с какао и шоколадной начинкой, 228г",142.80,99.99,−30%,с 13 апреля до 19 апреля
"Корнишоны СКАТЕРТЬ-САМОБРАНКА, маринованные, 350г",120.50,99.99,−17%,с 13 апреля до 19 апреля
"Печенье ОРЕО, 228г",142.80,99.99,−30%,с 13 апреля до 19 апреля
"Соус КИНТО ГЕО, Грузинская кухня, шашлычный, 305г",129.90,99.99,−23%,с 13 апреля до 19 апреля
"Печенье ОРЕО, с какао и шоколадной начинкой, 228г",133.30,99.99,−25%,с 13 апреля до 19 апреля
"Нектар РИЧ, Персиковый, 1л",166.70,99.99,−40%,с 13 апреля до 19 апреля
"Тарелка обеденная Парма квадратная белый опал, 27см",159.99,99.99,"−38,00%",с 07 апреля до 04 мая
"Лосось МАРЕ рубленый подкопченный (ТД Балтийский берег), 150г",153.40,99.99,−35%,с 13 апреля до 19 апреля
"Корнишоны СКАТЕРТЬ-САМОБРАНКА, маринованные, 350г",120.50,99.99,−17%,с 13 апреля до 19 апреля
"Печенье ОРЕО, 228г",133.30,99.99,−25%,с 13 апреля до 19 апреля
"Круассаны СЕВЕН ДЭЙЗ, какао 3+1, 260г",129.90,99.99,−23%,с 13 апреля до 19 апреля
"Фасоль с грибами СЕМЕЙНЫЕ СЕКРЕТЫ, 530г",120.50,99.99,−17%,с 13 апреля до 19 апреля
"Клей Момент СУПЕР (Хенкель), 3 г",126.99,99.99,"−21,00%",с 07 апреля до 04 мая
"Сок РИЧ, яблочный, 1л",166.70,99.99,−40%,с 13 апреля до 19 апреля
"Клей Момент Кристалл, 30г",139.99,99.99,"−29,00%",с 07 апреля до 04 мая
"Круассаны СЕВЕН ДЭЙЗ, какао 3+1, 260г",140.00,104.99,−25%,с 13 апреля до 19 апреля
"Семечки подсолнечника СТЕПАНОВНА, Обжаренные, 250г",126.50,104.99,−17%,с 13 апреля до 19 апреля
"Пиво КЛИНСКОЕ, светлое, 4,7%, 1,3л",136.70,107.99,−21%,с 13 апреля до 19 апреля
"Пиво КЛИНСКОЕ, светлое, 4,7%, 1,3л",136.70,107.99,−21%,с 13 апреля до 19 апреля
"Семечки тыквенные ОТ МАРТИНА, 100г",139.20,109.99,−21%,с 13 апреля до 19 апреля
"Подушечки НЕСКВИК, банановые, 220г",150.70,109.99,−27%,с 13 апреля до 19 апреля
"Чистящее средство BREF®, Лимонная свежесть, 50г",193.00,109.99,−43%,с 13 апреля до 19 апреля
"Клей Момент®, Супер, гель, 3г",136.99,109.99,"−20,00%",с 07 апреля до 04 мая
"Завтрак готовый ФИТНЕС хлопья цельнозлаковые, 230г",161.40,112.99,−30%,с 13 апреля до 19 апреля
"Фасоль ПИКАНТА, По-монастырски, 530г",150.00,113.99,−24%,с 13 апреля до 19 апреля
"Фасоль ПИКАНТА, По-монастырски, 530г",150.00,113.99,−24%,с 13 апреля до 19 апреля
"Пиво ДУБ И ОБРУЧ Бочковое светлое, 1,5л",147.40,114.99,−22%,с 13 апреля до 19 апреля
"Лазанья ЗОЛОТОЙ ПЕТУШОК, мясная, 370г",169.00,119.99,−29%,с 13 апреля до 19 апреля
"Пирожное МЕДВЕЖОНОК БАРНИ Фан Сэнд кусочки темного шоколада, 180г",162.30,124.99,−23%,с 13 апреля до 19 апреля
"Колбаса МОЛОЧНАЯ, вязанка, мини (Стародворские колбасы), 500г",260.40,124.99,−52%,с 13 апреля до 19 апреля
"Конфеты ТОФФИФИ, Шоколадные, 125г",227.30,124.99,−45%,с 13 апреля до 19 апреля
"Пирожное МЕДВЕЖОНОК БАРНИ Фан Сэнд кусочки темного шоколада, 180г",178.60,124.99,−30%,с 13 апреля до 19 апреля
"Пирожное МЕДВЕЖОНОК БАРНИ Фан Сэнд какао-шоколад, 180г",178.60,124.99,−30%,с 13 апреля до 19 апреля
"Пирожное МЕДВЕЖОНОК БАРНИ Фан Сэнд какао-шоколад, 180г",162.30,124.99,−23%,с 13 апреля до 19 апреля
"Конфеты ТОФФИФИ, Шоколадные, 125г",181.10,124.99,−31%,с 13 апреля до 19 апреля
"Блок туалетный BREF®, Синяя вода, 50г",224.10,129.99,−42%,с 13 апреля до 19 апреля
"Таблетки для унитаза BREF®, Актив Гигиена, 2",194.00,129.99,−33%,с 13 апреля до 19 апреля
"Колбаса ЧЕСНОЧНАЯ, полукопченая (ОМПК), 420г",288.90,129.99,−55%,с 13 апреля до 19 апреля
"Мука пшеничная ФРАНЦУЗСКАЯ ШТУЧКА, Экстра, 2кг",156.60,129.99,−17%,с 13 апреля до 19 апреля
"Колбаса ЧЕСНОЧНАЯ, полукопченая (ОМПК), 420г",288.90,129.99,−55%,с 13 апреля до 19 апреля
"Томаты ДЯДЯ ВАНЯ, маринованные, 680г",152.90,129.99,−15%,с 13 апреля до 19 апреля
"Сыр БРЕСТ-ЛИТОВСК Финский 45%, 200г",207.70,134.99,−35%,с 13 апреля до 19 апреля
"Сыр БРЕСТ-ЛИТОВСК Финский 45%, 200г",207.70,134.99,−35%,с 13 апреля до 19 апреля
"Риет МЕРИДИАН, из тунца, 100г",174.20,139.99,−20%,с 13 апреля до 19 апреля
"Перец маринованный ДЯДЯ ВАНЯ, Чили, целый, 340г",170.70,139.99,−18%,с 13 апреля до 19 апреля
"Наполнитель для туалета домашних животных TAFI® комкающийся, 5кг",179.99,139.99,"−22,00%",с 07 апреля до 04 мая
"Ошейник репеллентный для Миссис Кисс, 38см",189.99,139.99,"−26,00%",с 07 апреля до 04 мая
"Зефир СЕМЕЙНЫЕ СЕКРЕТЫ Антоновка, 250г",185.80,144.90,−22%,с 13 апреля до 19 апреля
"Зефир СЕМЕЙНЫЕ СЕКРЕТЫ Антоновка, 250г",185.80,144.90,−22%,с 13 апреля до 19 апреля
"Набор конфет РОДНЫЕ ПРОСТОРЫ, с фундуком, 200г",306.10,149.99,−51%,с 13 апреля до 19 апреля
"Конфеты РОДНЫЕ ПРОСТОРЫ, с вафельной крошкой, 200г",306.10,149.99,−51%,с 13 апреля до 19 апреля
"Паста томатная ПОМИДОРКА, 380г",189.90,149.99,−21%,с 13 апреля до 19 апреля
"Конфеты РОДНЫЕ ПРОСТОРЫ, с вафельной крошкой, 200г",333.30,149.99,−55%,с 13 апреля до 19 апреля
"Аккумулятор холода, 800мл",199.99,149.99,"−25,00%",с 07 апреля до 04 мая
"Гель для чистки унитаза BREF®, Тотал Блеск, лимон, 700мл",217.40,149.99,−31%,с 13 апреля до 19 апреля
"Гель для чистки унитаза BREF®, Тотал, Блеск цветов, 700мл",217.40,149.99,−31%,с 13 апреля до 19 апреля
"Набор конфет РОДНЫЕ ПРОСТОРЫ, с фундуком, 200г",272.70,149.99,−45%,с 13 апреля до 19 апреля
"ГОВЯДИНА ТУШЕНАЯ, высший сорт (Курганский МК), 338г",190.50,159.99,−16%,с 13 апреля до 19 апреля
"Пастила БЕЛЕВСКАЯ ПАСТИЛА, Яблоко, 200г",271.20,159.99,−41%,с 13 апреля до 19 апреля
"Колбаса БОРОДИНСКАЯ, сырокопченая, мини (Черкизовский МПЗ), 300г",313.70,159.99,−49%,с 13 апреля до 19 апреля
"Пастила БЕЛЕВСКАЯ ПАСТИЛА, Яблоко, 200г",271.20,159.99,−41%,с 13 апреля до 19 апреля
"Кофе НЕСКАФЕ, Классик Крема, растворимый, 95г",216.20,159.99,−26%,с 13 апреля до 19 апреля
"Напиток ЛЮБИМЫЙ, Яблоко-вишня-черешня, 1,93л",203.70,164.99,−19%,с 13 апреля до 19 апреля
"Торт вафельный ШОКОЛАДНИЦА, с фундуком, 270г",226.00,164.99,−27%,с 13 апреля до 19 апреля
"Напиток ЛЮБИМЫЙ, Виноградный дуэт, 1,93л",203.70,164.99,−19%,с 13 апреля до 19 апреля
"Напиток ЛЮБИМЫЙ, Виноградный дуэт, 1,93л",203.70,164.99,−19%,с 13 апреля до 19 апреля
"Нектар ЛЮБИМЫЙ, Яблоко/персик/нектарин, 1,93л",203.70,164.99,−19%,с 13 апреля до 19 апреля
"Торт вафельный ШОКОЛАДНИЦА, с фундуком, 270г",226.00,164.99,−27%,с 13 апреля до 19 апреля
"Напиток ЛЮБИМЫЙ Тропический микс, 1,93л",203.70,164.99,−19%,с 13 апреля до 19 апреля
"Напиток ЛЮБИМЫЙ Тропический микс, 1,93л",203.70,164.99,−19%,с 13 апреля до 19 апреля
"Оленина СТАНДАРТ тушеная особая (Курганский), 338г",228.60,169.99,−26%,с 13 апреля до 19 апреля
"Плодовая продукция ГРАНАТОВАЯ, красное, полусладкое, 0,75 л",209.30,179.99,−14%,с 13 апреля до 19 апреля
"Соль для посудомоечных машин SOMAT®, 1,5кг",272.70,179.99,−34%,с 13 апреля до 19 апреля
"Плодовая продукция ГРАНАТОВАЯ, красное, полусладкое, 0,75 л",209.30,179.99,−14%,с 13 апреля до 19 апреля
"Батарейки Energizer, Макс, АА, 4 шт.",269.99,189.99,"−30,00%",с 07 апреля до 04 мая
"Батарейки Energizer, Макс, ААА, 4 шт.",269.99,189.99,"−30,00%",с 07 апреля до 04 мая
"Шампунь GLISS KUR®, Жидкий Шелк, 400мл",298.50,199.99,−33%,с 13 апреля до 19 апреля
"Бальзам для волос GLISS KUR® Экстремальное восстановление, 400мл",298.50,199.99,−33%,с 13 апреля до 19 апреля
"Бальзам для волос GLISS KUR® Жидкий шелк, 400мл",298.50,199.99,−33%,с 13 апреля до 19 апреля
"Салатник Парма, квадратный, белый опал, 24 см",349.99,199.99,"−43,00%",с 07 апреля до 04 мая
"Бальзам для волос GLISS KUR® Ойл Нутритив, 400мл",298.50,199.99,−33%,с 13 апреля до 19 апреля
"Шампунь GLISS KUR®, Экстремальные восстановление, 400мл",298.50,199.99,−33%,с 13 апреля до 19 апреля
"Шампунь GLISS KUR® Ойл Нутритив, 400мл",298.50,199.99,−33%,с 13 апреля до 19 апреля
Игра Поймай мяч на липучке,299.99,199.99,"−33,00%",с 07 апреля до 04 мая
"Вино КАНОНИЧЕСКИЕ ТРАДИЦИИ красное сладкое, 0,7л",280.00,209.99,−25%,с 13 апреля до 19 апреля
"Кофе НЕСКАФЕ Голд, сублимированный с молотым, 75г",265.80,209.99,−21%,с 13 апреля до 19 апреля
"Вино КАНОНИЧЕСКИЕ ТРАДИЦИИ красное сладкое, 0,7л",280.00,209.99,−25%,с 13 апреля до 19 апреля
"Капсулы для стирки LOSK® Дуо-капс Колор, 12шт.",433.90,229.99,−47%,с 13 апреля до 19 апреля
"Набор конфет КОМИЛЬФО, Фисташки, 116г",428.60,239.99,−44%,с 13 апреля до 19 апреля
"Набор конфет КОМИЛЬФО, Фисташки, 116г",369.20,239.99,−35%,с 13 апреля до 19 апреля
"Печень трески натуральная БОСКО-МОРЕПРОДУКТ, 230г",301.10,264.99,−12%,с 13 апреля до 19 апреля
"Гель для стирки LOSK®, автомат, Горное озеро, 1,46л",421.90,269.99,−36%,с 13 апреля до 19 апреля
"Гель для унитаза BREF®, Волна свежести, 360мл",385.70,269.99,−30%,с 13 апреля до 19 апреля
"Кофе МИЛАГРО Голд Роаст растворимый сублимированный средней обжарки, 95г",448.30,274.99,−39%,с 13 апреля до 19 апреля
"Кофе LAVAZZA, Crema e Gusto, Лавацца Крема э густо Молотый, 250г",345.70,279.99,−19%,с 13 апреля до 19 апреля
"Средство чистящее для посудомоечных машин SOMAT®, Машин клинер, 3шт.x20г",444.40,279.99,−37%,с 13 апреля до 19 апреля
"Водка ГРАФ ЛЕДОФФ, Лайт гуала, 40%, 0,5л",356.80,289.00,−19%,с 13 апреля до 19 апреля
"Водка особая GRAF LEDOFF Lemon 40% 0,5л(Татспиртпром):20",356.80,289.00,−19%,с 13 апреля до 19 апреля
"Водка ГРАФ ЛЕДОФФ, Лайт гуала, 40%, 0,5л",358.00,289.99,−19%,с 13 апреля до 19 апреля
"Кофе LAVAZZA, Crema e Gusto, Лавацца Крема э густо Молотый, 250г",356.20,289.99,−19%,с 13 апреля до 19 апреля
"Водка особая GRAF LEDOFF Lemon 40% 0,5л(Татспиртпром):20",358.00,289.99,−19%,с 13 апреля до 19 апреля
"Водка ТАЛКА Сибирский Кедр особая 40%, 0,5л",369.10,299.00,−19%,с 13 апреля до 19 апреля
"Кофе NESCAFE® Голд Арома сублимированный растворимый, 85г",405.40,299.99,−26%,с 13 апреля до 19 апреля
"Гель для стирки PERSIL®, Колор, 1,46л",697.70,299.99,−57%,с 13 апреля до 19 апреля
"Гель для стирки PERSIL®, Колор, 1,46л",697.70,299.99,−57%,с 13 апреля до 19 апреля
"Средство чистящее BREF® Тотал анти-налёт Лимонная свежесть, 500мл",361.40,299.99,−17%,с 13 апреля до 19 апреля
"Водка особая Талка Сибирский Кедр 40% 0,5л(Сибирский ЛВЗ):12",370.40,299.99,−19%,с 13 апреля до 19 апреля
"Кофе NESCAFE, Gold Crema, Нескафе Голд Крема, растворимый, 95г",434.80,299.99,−31%,с 13 апреля до 19 апреля
"Кофе НЕСКАФЕ Голд, сублимированный с молотым, 95г",434.80,299.99,−31%,с 13 апреля до 19 апреля
"Пельмени МИРАТОРГ, с мраморной говядиной, 800г",688.90,309.99,−55%,с 13 апреля до 19 апреля
"Вино СОЛИЕРА Айрен белое сухое (Испания), 0,75л",400.00,319.99,−20%,с 13 апреля до 19 апреля
"Семга МАГНИТ филе кусок с/с, 200г",438.00,345.99,−21%,с 13 апреля до 19 апреля
"Настойка горькая БЕЛАЯ БЕРЁЗКА Белый налив 38%, 0,5л",554.00,349.00,−37%,с 13 апреля до 19 апреля
"Бадминтон 2 ракетки+волан, 60х20см",449.99,349.99,"−22,00%",с 07 апреля до 04 мая
"Кофе LAVAZZA Organic Tierra натуральный жареный молотый, 180г",413.80,359.99,−13%,с 13 апреля до 19 апреля
"Вино КАХУРИ Цинандали белое сухое (Грузия), 0,75л",468.30,369.99,−21%,с 13 апреля до 19 апреля
"Кофе ЛАВАЦЦА, Куалита Росса, молотый, 250г",435.30,369.99,−15%,с 13 апреля до 19 апреля
"Кофе ЛАВАЦЦА, Куалита Росса, молотый, 250г",454.50,369.99,−19%,с 13 апреля до 19 апреля
"Кофе ЛАВАЦЦА, Квалита Оро, молотый, 250г",487.50,389.99,−20%,с 13 апреля до 19 апреля
"Коньяк российский ЛЕЗГИНКА КВ выдержанный 6-летний 40%, 0,25л",500.00,399.99,−20%,с 13 апреля до 19 апреля
"Кофе Д'АРТЭ, ориджинал растворимый, 100г",677.90,399.99,−41%,с 13 апреля до 19 апреля
"Кофе ЛАВАЦЦА, Квалита Оро, молотый, 250г",507.70,399.99,−21%,с 13 апреля до 19 апреля
"Решетка-гриль универсальная плоская, 50x34см",499.99,399.99,"−20,00%",с 07 апреля до 04 мая
"Водка ТАЛКА, 40%, 0,7л",530.40,419.00,−21%,с 13 апреля до 19 апреля
"Кофе ЛАВАЦЦА, Кафе Эспрессо, молотый, 250г",500.00,419.99,−16%,с 13 апреля до 19 апреля
"Кофе ЛАВАЦЦА Оро в зернах, 250г",525.00,419.99,−20%,с 13 апреля до 19 апреля
"Кофе ЛАВАЦЦА Оро жареный молотый, 250г",512.20,419.99,−18%,с 13 апреля до 19 апреля
"Вино СЕНДЕРО Каберне Совиньон красное полусухое (Чили), 0,75л",550.00,429.00,−22%,с 13 апреля до 19 апреля
"Кофе ЛАВАЦЦА, Оро, молотый, 250г",544.30,429.99,−21%,с 13 апреля до 19 апреля
"Вино ЛЮСЬЕН РИГИ Бордо АОС белое сухое (Франция), 0,75л",542.00,439.00,−19%,с 13 апреля до 19 апреля
"Кофе ЛАВАЦЦА Оро в зернах, 250г",555.50,439.99,−21%,с 13 апреля до 19 апреля
Мангал сборный 40*25 см с 6 шампурами,549.99,439.99,"−20,00%",с 07 апреля до 04 мая
"Водка ХОРТИЦЯ Ультра Премиум особая 40% 0,7л",561.30,449.00,−20%,с 13 апреля до 19 апреля
"Вино СЕН МАРТЕН Резерв Каберне Совиньон красное сухое (Франция), 0,75л",602.40,469.90,−22%,с 13 апреля до 19 апреля
"Вино СЕН МАРТЕН Резерв Совиньон Блан белое сухое (Франция), 0,75л",602.40,469.90,−22%,с 13 апреля до 19 апреля
"Вино ОСИТАН МИНЕРВУА красное сухое (Франция), 0,75л",610.40,469.99,−23%,с 13 апреля до 19 апреля
"Решетка-гриль универсальная глубокая, 58x31см",599.99,469.99,"−22,00%",с 07 апреля до 04 мая
"Вино ОСИТАН ЛАНГЕДОК, красное сухое (Франция), 0,75л",602.60,469.99,−22%,с 13 апреля до 19 апреля
"Коньяк ШУСТОФФ, российский, 5-летний, 40%, 0,5л",623.40,480.00,−23%,с 13 апреля до 19 апреля
"Коньяк ШУСТОФФ, российский, 5-летний, 40%, 0,5л",626.00,481.99,−23%,с 13 апреля до 19 апреля
"Кофе JACOBS Millicano натуральный растворимый сублимированный, 200г",684.90,499.99,−27%,с 13 апреля до 19 апреля
"Водка ВОДКА А 40%, 0,5л",610.60,519.00,−15%,с 13 апреля до 19 апреля
"Вино ДЕ ГРАС РЕЗЕРВА, Совиньон Блан, белое сухое (Чили), 0,75л",753.40,549.99,−27%,с 13 апреля до 19 апреля
"Вино ГРАН КАРДИЭЛЬ, Руэда Вердехо, белое сухое (Испания), 0,75л",700.00,559.99,−20%,с 13 апреля до 19 апреля
"Кофе НЕСКАФЕ Голд, сублимированный с молотым, 190г",779.20,599.99,−23%,с 13 апреля до 19 апреля
"Коньяк ПЯТЬ ЗВЕЗДОЧЕК, российский, 5-летний, 40%, 0,5л",797.60,669.99,−16%,с 13 апреля до 19 апреля
"Вино игристое АБРАУ-ДЮРСО Премиум выдержанное белое полусухое, 0,75л",919.70,699.00,−24%,с 13 апреля до 19 апреля
"Кофе ЛАВАЦЦА, Крема э арома, в зернах, 1кг",1891.90,1399.99,−26%,с 13 апреля до 19 апреля
"Кофе ЛАВАЦЦА, Крема э арома, в зернах, 1кг",1911.80,1499.99,−22%,с 13 апреля до 19 апреля
"Кофе ЛАВАЦЦА, Л`Эспрессо Гран Крема, зерновой, 1кг",2027.00,1499.99,−26%,с 13 апреля до 19 апреля
"Кофе ЛАВАЦЦА, зерно, 1кг",1898.70,1499.99,−21%,с 13 апреля до 19 апреля
"Кофе ЛАВАЦЦА, зерно, 1кг",1911.80,1499.99,−22%,с 13 апреля до 19 апреля
"Кофе ЛАВАЦЦА Оро жареный в зернах, 1кг",1973.70,1499.99,−24%,с 13 апреля до 19 апреля
"Текила ЭСПОЛОН, Бланко, 40% (Мексика), 0,75л",2010.30,1749.00,−13%,с 13 апреля до 19 апреля
